"Initiative","State","County","City","Recipient","Links",Number Of Initiatives
"PSC - Community Challenge Planning                                                                                                                                                                                                                              ","SC                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Greenville                                                                                                                                                                                                                                                              ","Connections for Sustainability: Linking Greenville's Neighborhoods to Jobs and Open Space                                                                                                                                                                                                                                                                                                                                                        ","                                                                                                                                                   ",1
"PSC - Community Challenge Planning                                                                                                                                                                                                                              ","TN                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Columbia                                                                                                                                                                                                                                                                ","James Campbell Corridor Plan                                                                                                                                                                                                                                                                                                                                                                                                                     ","                                                                                                                                                   ",1
"PSC - Community Challenge Planning                                                                                                                                                                                                                              ","TN                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Memphis                                                                                                                                                                                                                                                                 ","Aerotropolis Master Plan                                                                                                                                                                                                                                                                                                                                                                                                                         ","                                                                                                                                                   ",1
"PSC - Community Challenge Planning                                                                                                                                                                                                                              ","TX                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Arlington                                                                                                                                                                                                                                                               ","Planning for Livable Military Communities                                                                                                                                                                                                                                                                                                                                                                                                        ","                                                                                                                                                   ",1
"PSC - Community Challenge Planning                                                                                                                                                                                                                              ","TX                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Austin                                                                                                                                                                                                                                                                  ","Colony Park Sustainable Community Pilot Project                                                                                                                                                                                                                                                                                                                                                                                                  ","                                                                                                                                                   ",1
"PSC - Community Challenge Planning                                                                                                                                                                                                                              ","TX                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Dallas                                                                                                                                                                                                                                                                  ","Renewing Urban Neighborhoods - TOD Workforce Housing                                                                                                                                                                                                                                                                                                                                                                                             ","                                                                                                                                                   ",1
"PSC - Community Challenge Planning                                                                                                                                                                                                                              ","TX                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Garland                                                                                                                                                                                                                                                                 ","Centerville Marketplace Repositioning Strategy                                                                                                                                                                                                                                                                                                                                                                                                   ","                                                                                                                                                   ",1
"PSC - Community Challenge Planning                                                                                                                                                                                                                              ","UT                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Salt Lake City                                                                                                                                                                                                                                                          ","University TRAX Line Station Area Plans and Sustainable Zoning                                                                                                                                                                                                                                                                                                                                                                                   ","                                                                                                                                                   ",1
"PSC - Community Challenge Planning                                                                                                                                                                                                                              ","VA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Richmond                                                                                                                                                                                                                                                                ","Hull Street Corridor Revitalization Plan                                                                                                                                                                                                                                                                                                                                                                                                         ","                                                                                                                                                   ",1
"PSC - Community Challenge Planning                                                                                                                                                                                                                              ","VT                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Burlington                                                                                                                                                                                                                                                              ","PlanBTV: Waterfront and Downtown Plan                                                                                                                                                                                                                                                                                                                                                                                                            ","                                                                                                                                                   ",1
"PSC - Community Challenge Planning                                                                                                                                                                                                                              ","WA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Olympia                                                                                                                                                                                                                                                                 ","Capitol-Martin Corridor and Neigbhorhood District Plan                                                                                                                                                                                                                                                                                                                                                                                           ","                                                                                                                                                   ",1
"PSC - Community Challenge Planning                                                                                                                                                                                                                              ","WA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Seattle                                                                                                                                                                                                                                                                 ","Community Cornerstones                                                                                                                                                                                                                                                                                                                                                                                                                           ","                                                                                                                                                   ",1
"PSC - Community Challenge Planning                                                                                                                                                                                                                              ","WA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Wellpinit                                                                                                                                                                                                                                                               ","Spokane Tribal Community Master Plan and Implementation Project                                                                                                                                                                                                                                                                                                                                                                                  ","                                                                                                                                                   ",1
"PSC - Community Challenge Planning                                                                                                                                                                                                                              ","WV                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Elkins                                                                                                                                                                                                                                                                  ","Needs Assessment and Planning for Affordable Housing, Public Transit and Bike/Walk Pathways in Randolph County                                                                                                                                                                                                                                                                                                                                   ","                                                                                                                                                   ",1
"PSC - Community Challenge Planning                                                                                                                                                                                                                              ","WV                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Ranson                                                                                                                                                                                                                                                                  ","Ranson Renewed: Ranson-Charles Town Green Corridor Revitalization                                                                                                                                                                                                                                                                                                                                                                                ","                                                                                                                                                   ",1
