"Initiative","State","County","City","Recipient","Links",Number Of Initiatives
"NRI - Choice Neighborhoods                                                                                                                                                                                                                                      ","RI                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Woonsocket                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"NRI - Choice Neighborhoods                                                                                                                                                                                                                                      ","SC                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Columbia                                                                                                                                                                                                                                                                ","East Central                                                                                                                                                                                                                                                                                                                                                                                                                                     ","                                                                                                                                                   ",1
"NRI - Choice Neighborhoods                                                                                                                                                                                                                                      ","SC                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Spartanburg                                                                                                                                                                                                                                                             ","Spartanburg Northside                                                                                                                                                                                                                                                                                                                                                                                                                            ","                                                                                                                                                   ",1
"NRI - Choice Neighborhoods                                                                                                                                                                                                                                      ","TN                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Jackson                                                                                                                                                                                                                                                                 ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"NRI - Choice Neighborhoods                                                                                                                                                                                                                                      ","TN                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Kinsport                                                                                                                                                                                                                                                                ","Midtown                                                                                                                                                                                                                                                                                                                                                                                                                                          ","                                                                                                                                                   ",1
"NRI - Choice Neighborhoods                                                                                                                                                                                                                                      ","TN                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Memphis                                                                                                                                                                                                                                                                 ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",4
"NRI - Choice Neighborhoods                                                                                                                                                                                                                                      ","TX                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Austin                                                                                                                                                                                                                                                                  ","East Austin Rosewood                                                                                                                                                                                                                                                                                                                                                                                                                             ","                                                                                                                                                   ",1
"NRI - Choice Neighborhoods                                                                                                                                                                                                                                      ","TX                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","San Antonio                                                                                                                                                                                                                                                             ","Eastside                                                                                                                                                                                                                                                                                                                                                                                                                                         ","                                                                                                                                                   ",2
"NRI - Choice Neighborhoods                                                                                                                                                                                                                                      ","VA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Norfolk                                                                                                                                                                                                                                                                 ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",2
"NRI - Choice Neighborhoods                                                                                                                                                                                                                                      ","VA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Roanoke                                                                                                                                                                                                                                                                 ","Loudon/Melrose-Shenandoah West                                                                                                                                                                                                                                                                                                                                                                                                                   ","                                                                                                                                                   ",1
"NRI - Choice Neighborhoods                                                                                                                                                                                                                                      ","VA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Suffolk                                                                                                                                                                                                                                                                 ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
